,zcta,time_period,population,Start date,end date,case count,test count,positive tests,case rate,test rate,positivity rate
162,95035,32,79655,2020-10-11,2020-10-31,77.0,5091.0,85.0,4.6,304.3,1.7
163,95035,24,79655,2020-04-26,2020-05-16,91.0,758.0,27.0,0.6,45.3,3.6
164,95035,30,79655,2020-08-30,2020-09-19,80.0,3709.0,97.0,4.8,221.7,2.6
165,95035,23,79655,2020-04-05,2020-04-25,30.0,474.0,43.0,1.8,28.3,9.1
166,95035,60,79655,2022-05-22,2022-06-11,928.0,8058.0,1149.0,55.5,481.7,14.3
167,95035,36,79655,2021-01-03,2021-01-23,737.0,11352.0,855.0,44.1,678.6,7.5
168,95035,27,79655,2020-06-28,2020-07-18,86.0,3358.0,98.0,5.1,200.7,2.9
169,95035,59,79655,2022-05-01,2022-05-21,837.0,8479.0,950.0,50.0,506.9,11.2
170,95035,53,79655,2021-12-26,2022-01-15,3202.0,19888.0,3619.0,191.4,1188.9,18.2
171,95035,45,79655,2021-07-11,2021-07-31,156.0,6280.0,176.0,9.3,375.4,2.8
172,95035,67,79655,2022-10-16,2022-11-05,86.0,1392.0,106.0,5.1,83.2,7.6
173,95035,40,79655,2021-03-28,2021-04-17,114.0,7992.0,129.0,6.8,477.8,1.6
174,95035,33,79655,2020-11-01,2020-11-21,169.0,6803.0,190.0,10.1,406.7,2.8
175,95035,47,79655,2021-08-22,2021-09-11,161.0,20177.0,195.0,9.6,1206.2,1.0
176,95035,29,79655,2020-08-09,2020-08-29,103.0,3428.0,129.0,6.2,204.9,3.8
177,95035,55,79655,2022-02-06,2022-02-26,422.0,10768.0,520.0,25.2,643.7,4.8
178,95035,37,79655,2021-01-24,2021-02-13,270.0,8502.0,330.0,16.1,508.3,3.9
179,95035,50,79655,2021-10-24,2021-11-13,91.0,8324.0,108.0,5.4,497.6,1.3
180,95035,58,79655,2022-04-10,2022-04-30,319.0,6484.0,380.0,19.1,387.6,5.9
181,95035,51,79655,2021-11-14,2021-12-04,98.0,9025.0,112.0,5.9,539.5,1.2
182,95035,61,79655,2022-06-12,2022-07-02,899.0,6326.0,1069.0,53.7,378.2,16.9
183,95035,35,79655,2020-12-13,2021-01-02,807.0,10783.0,910.0,48.2,644.6,8.4
184,95035,52,79655,2021-12-05,2021-12-25,241.0,9771.0,284.0,14.4,584.1,2.9
185,95035,57,79655,2022-03-20,2022-04-09,156.0,6385.0,198.0,9.3,381.7,3.1
186,95035,62,79655,2022-07-03,2022-07-23,763.0,5428.0,870.0,45.6,324.5,16.0
187,95035,65,79655,2022-09-04,2022-09-24,171.0,3414.0,199.0,10.2,204.1,5.8
188,95035,38,79655,2021-02-14,2021-03-06,97.0,7315.0,121.0,5.8,437.3,1.7
189,95035,66,79655,2022-09-25,2022-10-15,146.0,3001.0,180.0,8.7,179.4,6.0
190,95035,46,79655,2021-08-01,2021-08-21,263.0,9213.0,311.0,15.7,550.8,3.4
191,94087,23,56668,2020-04-05,2020-04-25,39.0,395.0,42.0,3.3,33.2,10.6
192,94087,34,56668,2020-11-22,2020-12-12,189.0,6976.0,209.0,15.9,586.2,3.0
193,94087,32,56668,2020-10-11,2020-10-31,19.0,4371.0,35000.0,1.6,367.3,0.5
194,94087,33,56668,2020-11-01,2020-11-21,47.0,5877.0,66.0,3.9,493.9,1.1
195,94087,29,56668,2020-08-09,2020-08-29,25.0,3276.0,31.0,2.1,275.3,0.9
196,94087,24,56668,2020-04-26,2020-05-16,91.0,691.0,35.0,0.4,58.1,5.1
197,94087,63,56668,2022-07-24,2022-08-13,290.0,3511.0,337.0,24.4,295.0,9.6
198,94087,51,56668,2021-11-14,2021-12-04,84.0,8396.0,93.0,7.1,705.5,1.1
199,94087,40,56668,2021-03-28,2021-04-17,39.0,6726.0,48.0,3.3,565.2,0.7
200,94087,61,56668,2022-06-12,2022-07-02,461.0,5084.0,542.0,38.7,427.2,10.7
201,94087,28,56668,2020-07-19,2020-08-08,42.0,3238.0,45.0,3.5,272.1,1.4
202,94087,39,56668,2021-03-07,2021-03-27,52.0,6493.0,61.0,4.4,545.6,0.9
203,94087,65,56668,2022-09-04,2022-09-24,122.0,3232.0,138.0,10.3,271.6,4.3
204,94087,58,56668,2022-04-10,2022-04-30,246.0,8209.0,261.0,20.7,689.8,3.2
205,94087,30,56668,2020-08-30,2020-09-19,24.0,3021.0,24.0,2.0,253.9,0.8
206,94087,27,56668,2020-06-28,2020-07-18,36.0,3478.0,38.0,3.0,292.3,1.1
207,94087,25,56668,2020-05-17,2020-06-06,91.0,990.0,108.5,0.3,83.2,0.5
208,94087,67,56668,2022-10-16,2022-11-05,39.0,1280.0,48.0,3.3,107.6,3.8
209,94087,22,56668,2020-03-15,2020-04-04,16.0,190.0,17.0,1.3,16.0,8.9
210,94087,21,56668,2020-02-23,2020-03-14,91.0,11.0,108.5,0.3,0.9,27.3
211,94087,20,56668,,,0.0,4352.0,108.5,0.0,0.1,0.0
212,94087,44,56668,2021-06-20,2021-07-10,20.0,4525.0,26.0,1.7,380.2,0.6
213,94087,31,56668,2020-09-20,2020-10-10,19.0,4100.0,27.0,1.6,344.5,0.7
214,94087,66,56668,2022-09-25,2022-10-15,122.0,2897.0,133.0,10.3,243.4,4.6
215,94087,38,56668,2021-02-14,2021-03-06,59.0,6255.0,69.0,5.0,525.6,1.1
216,94087,59,56668,2022-05-01,2022-05-21,530.0,12581.0,596.0,44.5,1057.2,4.7
217,94087,62,56668,2022-07-03,2022-07-23,418.0,4359.0,476.0,35.1,366.3,10.9
218,94087,26,56668,2020-06-07,2020-06-27,12.0,2126.0,15.0,1.0,178.7,0.7
219,94087,57,56668,2022-03-20,2022-04-09,114.0,10771.0,126.0,9.6,905.1,1.2
220,94087,48,56668,2021-09-12,2021-10-02,60.0,9408.0,67.0,5.0,790.6,0.7
221,94087,47,56668,2021-08-22,2021-09-11,102.0,8940.0,114.0,8.6,751.2,1.3
222,94087,45,56668,2021-07-11,2021-07-31,77.0,5317.0,87.0,6.5,446.8,1.6
223,94087,43,56668,2021-05-30,2021-06-19,13.0,4980.0,14.0,1.1,418.5,0.3
224,94087,36,56668,2021-01-03,2021-01-23,278.0,7909.0,319.0,23.4,664.6,4.0
225,94087,49,56668,2021-10-03,2021-10-23,46.0,8751.0,51.0,3.9,735.4,0.6
226,94087,50,56668,2021-10-24,2021-11-13,81.0,9009.0,89.0,6.8,757.0,1.0
227,94087,42,56668,2021-05-09,2021-05-29,91.0,5425.0,108.5,0.4,455.9,0.2
228,94087,46,56668,2021-08-01,2021-08-21,126.0,7798.0,154.0,10.6,655.3,2.0
229,94087,56,56668,2022-02-27,2022-03-19,88.0,11016.0,110.0,7.4,925.7,1.0
230,94087,52,56668,2021-12-05,2021-12-25,191.0,9336.0,211.0,16.1,784.5,2.3
231,94087,37,56668,2021-01-24,2021-02-13,105.0,6709.0,136.0,8.8,563.8,2.0
232,94087,41,56668,2021-04-18,2021-05-08,37.0,6947.0,46.0,3.1,583.8,0.7
233,94087,55,56668,2022-02-06,2022-02-26,217.0,13726.0,276.0,18.2,1153.4,2.0
234,94087,54,56668,2022-01-16,2022-02-05,860.0,18000.0,1117.0,72.3,1512.6,6.2
235,94087,53,56668,2021-12-26,2022-01-15,1659.0,16561.0,1951.0,139.4,1391.6,11.8
236,94087,60,56668,2022-05-22,2022-06-11,606.0,10179.0,683.0,50.9,855.4,6.7
